campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas
212598,New User Discount,2023-01-15,Premium,Social Media,574,174,72,81.06,186.32,1.99
868691,Weekend Special,2023-01-15,New Users,App,648,289,18,62.28,364.33,2.52
423179,Festival Offer,2023-01-15,New Users,Email,944,194,38,60.91,473.04,3.77
419397,Flash Sale,2023-01-15,Premium,App,929,203,91,85.89,459.05,3.95
985745,Membership Drive,2023-01-15,Inactive,App,886,195,99,80.43,143.56,3.07
971433,Category Promotion,2023-01-15,New Users,App,476,146,59,55.65,194.02,2.04
551890,App Push Notification,2023-01-15,Premium,SMS,756,219,77,93.79,243.87,3.72
44292,Email Campaign,2023-01-15,All,Social Media,452,211,24,66.4,105.99,1.77
830722,Referral Program,2023-01-15,All,SMS,471,272,29,78.3,498.09,1.99
173869,New User Discount,2023-01-16,Inactive,SMS,532,99,85,69.88,359.77,2.19
699778,Weekend Special,2023-01-16,Inactive,Email,985,113,49,57.87,345.74,2.05
680844,Festival Offer,2023-01-16,New Users,App,627,56,33,52.02,462.74,2.87
242392,Flash Sale,2023-01-16,Inactive,Social Media,801,241,24,71.28,347.45,2.05
654312,Membership Drive,2023-01-16,Inactive,SMS,658,174,80,65.35,321.35,3.1
220680,Category Promotion,2023-01-16,New Users,Email,572,154,78,53.11,202.22,1.74
868431,App Push Notification,2023-01-16,Premium,SMS,512,182,50,80.31,440.08,3.45
468046,Email Campaign,2023-01-16,All,Email,701,192,36,80.83,373.16,1.92
334102,Referral Program,2023-01-16,Inactive,App,618,199,54,74.37,151.65,2.44
996717,New User Discount,2023-01-17,New Users,App,610,178,39,65.22,144.98,3.22
661529,Weekend Special,2023-01-17,New Users,Email,687,226,99,89.99,476.78,2.78
190101,Festival Offer,2023-01-17,Premium,App,839,86,50,89.61,213.89,1.71
163036,Flash Sale,2023-01-17,All,App,771,290,70,99.95,441.98,3.47
248143,Membership Drive,2023-01-17,Inactive,App,470,283,47,82.69,321.66,3.32
510340,Category Promotion,2023-01-17,Inactive,Social Media,864,135,40,85.74,162.47,2.59
164452,App Push Notification,2023-01-17,Premium,SMS,966,229,11,62.27,438.34,2.49
255195,Email Campaign,2023-01-17,All,SMS,663,295,29,62.59,352.16,3.33
871314,Referral Program,2023-01-17,Inactive,App,677,63,66,75.82,109.27,3.35
510144,New User Discount,2023-01-18,Premium,SMS,440,293,72,65.67,284.75,2.7
185843,Weekend Special,2023-01-18,Inactive,App,509,111,94,61.47,423.64,2.54
70271,Festival Offer,2023-01-18,New Users,Email,491,225,33,69.89,416.4,3.41
683553,Flash Sale,2023-01-18,Inactive,App,722,227,28,75.96,380.31,1.56
748183,Membership Drive,2023-01-18,Premium,SMS,921,71,52,62.54,429.89,3.56
779070,Category Promotion,2023-01-18,All,Email,540,154,60,93.09,230.36,2.15
340766,App Push Notification,2023-01-18,Inactive,SMS,597,220,64,94.41,210.42,3.36
895997,Email Campaign,2023-01-18,Premium,Email,670,126,29,84.38,448.13,2.65
546723,Referral Program,2023-01-18,All,Social Media,584,182,35,70.92,397.57,3.4
275780,New User Discount,2023-01-19,Premium,Social Media,813,92,100,65.61,499.86,2.05
139963,Weekend Special,2023-01-19,Premium,Social Media,975,66,83,67.24,482.29,2.42
260471,Festival Offer,2023-01-19,Premium,App,840,178,33,81.42,276.7,2.54
705064,Flash Sale,2023-01-19,All,Email,412,267,14,75.21,428.9,2.72
184543,Membership Drive,2023-01-19,Inactive,Social Media,619,93,74,94.23,388.44,1.77
570020,Category Promotion,2023-01-19,New Users,App,822,117,72,98.87,488.26,2.42
102423,App Push Notification,2023-01-19,Inactive,Email,778,113,78,65.77,353.75,2.52
142062,Email Campaign,2023-01-19,New Users,App,650,160,16,99.45,439.71,3.38
67621,Referral Program,2023-01-19,Premium,App,456,230,32,78.34,318.98,3.87
746937,New User Discount,2023-01-20,New Users,App,414,95,85,61.3,497.82,2.95
638300,Weekend Special,2023-01-20,Inactive,App,673,152,10,84.22,343.57,1.66
725148,Festival Offer,2023-01-20,New Users,SMS,976,168,42,67.43,426.51,3.31
433344,Flash Sale,2023-01-20,All,App,927,97,46,52.41,354.67,2.94
363651,Membership Drive,2023-01-20,New Users,SMS,466,61,86,91.62,467.91,3.24
259144,Category Promotion,2023-01-20,All,SMS,615,112,82,97.75,393.57,1.53
241219,App Push Notification,2023-01-20,All,Social Media,868,219,77,94.02,421.05,2.22
293609,Email Campaign,2023-01-20,New Users,App,605,263,83,90.55,375.05,2.22
138075,Referral Program,2023-01-20,Inactive,SMS,981,143,54,65.91,214.65,3.2
817565,New User Discount,2023-01-21,Inactive,Email,448,111,89,77.43,369.64,1.91
304551,Weekend Special,2023-01-21,New Users,App,466,122,26,63.06,335.54,3.21
71360,Festival Offer,2023-01-21,New Users,Email,861,140,60,78.75,477.17,1.77
991791,Flash Sale,2023-01-21,New Users,Email,648,97,83,92.99,453.74,2.61
983686,Membership Drive,2023-01-21,Inactive,Social Media,810,78,55,87.17,399.57,3.88
597893,Category Promotion,2023-01-21,New Users,Email,688,173,94,51.61,422.24,3.92
319955,App Push Notification,2023-01-21,New Users,Email,635,229,95,97.56,316.36,3.38
813284,Email Campaign,2023-01-21,Inactive,Social Media,947,207,99,82.92,332.73,1.58
33320,Referral Program,2023-01-21,New Users,Social Media,600,210,38,86.21,275.96,3.24
320603,New User Discount,2023-01-22,All,Email,910,284,19,89.75,398.87,1.52
775997,Weekend Special,2023-01-22,Premium,App,864,156,71,78.2,129.96,3.51
239977,Festival Offer,2023-01-22,All,SMS,818,162,70,58.8,348.88,1.96
19713,Flash Sale,2023-01-22,Inactive,Social Media,437,95,15,69.84,292.79,3.87
553051,Membership Drive,2023-01-22,Inactive,Social Media,704,204,49,55.85,110.76,3.13
6037,Category Promotion,2023-01-22,All,SMS,420,229,87,63.94,357.21,3.25
254181,App Push Notification,2023-01-22,Premium,Social Media,531,81,40,76.58,268.37,1.62
58326,Email Campaign,2023-01-22,New Users,SMS,858,97,24,65.61,212.34,2.73
968857,Referral Program,2023-01-22,Premium,Email,603,124,62,69.57,101.81,2.57
863499,New User Discount,2023-01-23,New Users,Social Media,798,160,82,58.97,301.92,2.18
519786,Weekend Special,2023-01-23,New Users,SMS,728,148,54,99.74,109.18,1.78
508450,Festival Offer,2023-01-23,New Users,Social Media,995,251,45,83.17,432.72,2.48
727915,Flash Sale,2023-01-23,All,App,944,254,85,94.43,127.93,2.11
742090,Membership Drive,2023-01-23,All,App,970,151,98,56.62,480.58,1.8
603975,Category Promotion,2023-01-23,Inactive,Email,584,69,23,80.9,165.92,2.11
400383,App Push Notification,2023-01-23,Inactive,Email,553,128,45,89.66,327.75,2.18
516452,Email Campaign,2023-01-23,Inactive,App,801,286,81,62.23,255.37,3.26
914365,Referral Program,2023-01-23,All,SMS,629,159,86,99.82,257.24,1.68
453205,New User Discount,2023-01-24,Inactive,SMS,565,238,41,53.27,230.0,3.12
875257,Weekend Special,2023-01-24,Inactive,SMS,881,121,17,56.15,277.47,1.86
136223,Festival Offer,2023-01-24,Premium,Social Media,561,222,15,81.14,306.88,3.21
918745,Flash Sale,2023-01-24,Inactive,Email,421,258,28,89.86,293.83,3.17
7790,Membership Drive,2023-01-24,Inactive,Social Media,997,106,20,87.8,119.71,3.72
961058,Category Promotion,2023-01-24,New Users,Social Media,620,68,64,97.57,178.2,2.32
354833,App Push Notification,2023-01-24,Premium,SMS,439,286,73,73.34,430.21,2.18
290604,Email Campaign,2023-01-24,New Users,Social Media,744,202,57,51.15,286.46,2.92
100015,Referral Program,2023-01-24,Inactive,Social Media,480,246,12,86.6,269.97,2.21
88425,New User Discount,2023-01-25,All,Social Media,465,81,28,62.86,479.48,2.43
457943,Weekend Special,2023-01-25,New Users,SMS,599,61,16,53.09,352.3,3.03
647772,Festival Offer,2023-01-25,Premium,Social Media,687,95,85,78.25,157.9,3.59
542067,Flash Sale,2023-01-25,Inactive,App,757,163,43,53.64,327.32,3.52
623224,Membership Drive,2023-01-25,Premium,App,715,140,25,74.25,357.68,1.58
55618,Category Promotion,2023-01-25,All,Email,866,279,16,92.57,253.54,2.92
462069,App Push Notification,2023-01-25,Inactive,App,455,92,44,65.18,354.46,2.88
491517,Email Campaign,2023-01-25,All,Social Media,914,79,93,93.34,483.07,2.09
822983,Referral Program,2023-01-25,Inactive,Email,910,203,75,77.75,398.48,3.89
983113,New User Discount,2023-01-26,All,SMS,419,51,75,82.95,310.77,2.7
315704,Weekend Special,2023-01-26,Premium,Email,991,169,52,73.02,257.24,3.2
424690,Festival Offer,2023-01-26,New Users,SMS,743,230,87,70.5,366.06,3.08
760042,Flash Sale,2023-01-26,Inactive,App,532,269,86,58.45,267.97,3.68
822171,Membership Drive,2023-01-26,Inactive,SMS,926,199,40,60.4,105.78,2.48
502867,Category Promotion,2023-01-26,Premium,Social Media,445,214,84,90.29,480.92,1.89
158970,App Push Notification,2023-01-26,Premium,Social Media,942,189,32,96.48,427.42,1.76
363352,Email Campaign,2023-01-26,Inactive,Social Media,456,137,73,85.38,318.16,1.86
144408,Referral Program,2023-01-26,New Users,Email,515,194,81,53.92,265.22,3.81
263610,New User Discount,2023-01-27,Inactive,App,812,273,40,85.86,498.47,1.83
202450,Weekend Special,2023-01-27,New Users,SMS,410,149,60,92.87,489.52,2.2
703172,Festival Offer,2023-01-27,Inactive,Email,600,266,82,76.2,480.7,2.33
406024,Flash Sale,2023-01-27,All,App,989,137,28,71.64,338.71,3.33
594071,Membership Drive,2023-01-27,New Users,App,712,195,64,83.3,416.36,3.51
113445,Category Promotion,2023-01-27,Inactive,Email,880,50,90,96.2,372.15,3.54
935221,App Push Notification,2023-01-27,New Users,Social Media,439,164,38,53.77,133.6,3.47
281807,Email Campaign,2023-01-27,New Users,Email,483,171,18,77.14,465.11,2.97
854525,Referral Program,2023-01-27,New Users,Email,820,300,63,99.5,411.88,1.92
169022,New User Discount,2023-01-28,Inactive,Email,473,56,51,79.11,247.45,2.55
839851,Weekend Special,2023-01-28,New Users,App,904,99,54,52.89,207.52,2.51
519448,Festival Offer,2023-01-28,Inactive,Social Media,750,294,75,83.22,189.94,1.63
15164,Flash Sale,2023-01-28,Premium,App,566,129,27,89.64,202.3,3.66
210092,Membership Drive,2023-01-28,New Users,App,664,80,56,71.13,282.46,3.87
626972,Category Promotion,2023-01-28,All,SMS,676,120,72,80.12,249.05,2.43
189467,App Push Notification,2023-01-28,Inactive,Social Media,868,107,83,62.74,283.36,2.78
637897,Email Campaign,2023-01-28,All,App,610,236,20,70.07,339.51,3.04
825049,Referral Program,2023-01-28,Inactive,SMS,778,106,33,80.29,407.82,2.56
377447,New User Discount,2023-01-29,All,Email,653,120,56,53.87,182.2,3.29
953804,Weekend Special,2023-01-29,Premium,Email,767,260,16,52.64,409.05,3.17
399474,Festival Offer,2023-01-29,All,App,929,55,71,57.25,395.92,2.17
304516,Flash Sale,2023-01-29,All,App,514,63,44,58.5,271.52,2.16
960160,Membership Drive,2023-01-29,Premium,Email,937,83,46,53.01,242.6,3.69
205028,Category Promotion,2023-01-29,Inactive,Social Media,980,55,25,58.33,100.88,3.79
318323,App Push Notification,2023-01-29,New Users,App,908,61,68,77.33,414.89,3.36
9285,Email Campaign,2023-01-29,Premium,Social Media,804,187,14,80.18,247.59,2.65
302054,Referral Program,2023-01-29,All,Email,914,64,80,57.31,320.32,2.28
31714,New User Discount,2023-01-30,Premium,Social Media,646,248,99,50.69,158.15,2.39
706251,Weekend Special,2023-01-30,New Users,SMS,741,266,85,81.23,308.52,2.87
677751,Festival Offer,2023-01-30,All,Social Media,898,268,71,91.4,356.79,2.7
668544,Flash Sale,2023-01-30,All,Social Media,648,262,75,87.77,230.38,2.02
780632,Membership Drive,2023-01-30,All,Social Media,718,216,15,69.39,264.96,1.52
638347,Category Promotion,2023-01-30,Premium,Social Media,683,166,95,50.88,284.22,3.33
37130,App Push Notification,2023-01-30,Inactive,Social Media,530,293,53,99.96,177.55,3.02
512440,Email Campaign,2023-01-30,New Users,Social Media,667,83,64,55.92,494.19,2.6
385324,Referral Program,2023-01-30,Inactive,Email,450,266,57,69.56,143.8,3.13
794823,New User Discount,2023-01-31,Premium,SMS,965,117,66,69.98,363.4,1.95
743376,Weekend Special,2023-01-31,All,Email,896,81,86,77.88,114.4,1.93
13083,Festival Offer,2023-01-31,All,Email,834,173,26,60.38,361.83,3.43
633544,Flash Sale,2023-01-31,Inactive,Email,500,235,67,75.46,442.5,2.43
252392,Membership Drive,2023-01-31,Premium,App,908,269,90,50.84,154.65,3.32
755586,Category Promotion,2023-01-31,Inactive,SMS,596,173,69,63.03,312.94,3.65
338208,App Push Notification,2023-01-31,Inactive,SMS,854,89,75,76.17,310.53,3.28
207399,Email Campaign,2023-01-31,Premium,SMS,615,151,64,89.88,485.78,3.79
247266,Referral Program,2023-01-31,Inactive,SMS,792,236,71,70.66,338.16,3.6
296738,New User Discount,2023-02-01,New Users,Email,851,63,47,97.15,155.09,3.14
520883,Weekend Special,2023-02-01,New Users,SMS,967,76,87,87.06,328.78,3.29
484763,Festival Offer,2023-02-01,Inactive,Email,552,82,59,74.98,150.81,2.13
582428,Flash Sale,2023-02-01,Inactive,Social Media,567,201,30,58.89,492.53,1.91
677651,Membership Drive,2023-02-01,New Users,Email,929,188,30,94.39,229.09,2.12
931686,Category Promotion,2023-02-01,New Users,Social Media,602,199,76,82.38,351.05,3.86
244469,App Push Notification,2023-02-01,All,Social Media,758,298,10,88.09,131.78,3.26
950752,Email Campaign,2023-02-01,All,Social Media,560,222,43,71.26,250.61,1.91
68247,Referral Program,2023-02-01,New Users,Social Media,748,192,50,99.94,488.92,2.34
149996,New User Discount,2023-02-02,New Users,Social Media,668,55,83,84.3,303.77,1.66
590493,Weekend Special,2023-02-02,Premium,Email,511,89,70,75.13,217.55,2.09
11008,Festival Offer,2023-02-02,All,Social Media,700,177,12,78.01,337.77,1.57
451005,Flash Sale,2023-02-02,Premium,Social Media,451,192,71,79.55,326.88,2.41
256168,Membership Drive,2023-02-02,All,Email,921,182,85,62.54,373.05,2.6
178740,Category Promotion,2023-02-02,Premium,Social Media,790,282,39,74.45,109.6,2.73
739185,App Push Notification,2023-02-02,Premium,SMS,571,217,29,94.02,212.96,2.12
858202,Email Campaign,2023-02-02,New Users,App,659,56,51,81.71,371.11,1.88
392650,Referral Program,2023-02-02,New Users,App,483,223,75,87.04,322.93,2.17
664966,New User Discount,2023-02-03,Inactive,Email,635,159,16,57.12,309.07,3.26
767921,Weekend Special,2023-02-03,New Users,Social Media,801,125,78,58.6,234.16,1.9
599799,Festival Offer,2023-02-03,New Users,SMS,414,82,40,94.07,361.62,1.8
34231,Flash Sale,2023-02-03,All,SMS,477,128,43,56.22,356.64,2.57
575214,Membership Drive,2023-02-03,Premium,SMS,538,180,74,85.26,267.65,2.61
865478,Category Promotion,2023-02-03,Premium,SMS,459,199,83,60.21,483.52,1.58
582317,App Push Notification,2023-02-03,Premium,Social Media,757,256,26,67.46,485.39,2.48
478869,Email Campaign,2023-02-03,Premium,Social Media,875,205,83,56.88,196.11,2.1
622818,Referral Program,2023-02-03,New Users,Email,994,268,59,82.4,384.62,2.18
743062,New User Discount,2023-02-04,Inactive,Email,780,143,56,69.29,480.04,2.46
931175,Weekend Special,2023-02-04,New Users,Email,449,235,66,56.01,262.19,2.64
740361,Festival Offer,2023-02-04,All,Social Media,466,253,15,64.69,203.01,1.52
593305,Flash Sale,2023-02-04,New Users,App,405,221,20,90.02,360.11,3.68
203869,Membership Drive,2023-02-04,New Users,Social Media,632,71,50,86.51,452.85,2.91
863062,Category Promotion,2023-02-04,Inactive,SMS,529,126,44,68.95,193.68,2.74
335206,App Push Notification,2023-02-04,New Users,Email,427,167,12,56.11,199.99,3.68
248483,Email Campaign,2023-02-04,Inactive,App,837,245,33,83.37,224.54,2.16
804383,Referral Program,2023-02-04,Premium,SMS,903,112,20,65.99,475.58,3.23
240145,New User Discount,2023-02-05,Premium,Email,761,83,66,92.13,254.19,1.92
833510,Weekend Special,2023-02-05,All,Social Media,595,227,30,78.36,214.14,3.03
812553,Festival Offer,2023-02-05,All,Social Media,466,119,71,78.27,475.76,1.56
723130,Flash Sale,2023-02-05,New Users,SMS,491,204,50,61.36,205.42,1.96
636093,Membership Drive,2023-02-05,Premium,SMS,641,299,72,59.74,189.3,3.66
837641,Category Promotion,2023-02-05,New Users,App,694,216,24,76.42,492.04,1.95
132282,App Push Notification,2023-02-05,Inactive,Social Media,496,178,44,78.41,132.07,3.77
298770,Email Campaign,2023-02-05,Inactive,Social Media,541,257,18,90.95,309.38,2.76
883398,Referral Program,2023-02-05,All,App,521,155,71,60.95,167.3,3.13
891463,New User Discount,2023-02-06,All,SMS,823,97,61,86.11,104.57,3.1
353405,Weekend Special,2023-02-06,Premium,SMS,601,192,93,89.8,256.43,2.64
132764,Festival Offer,2023-02-06,New Users,SMS,905,70,54,76.46,257.98,1.6
666874,Flash Sale,2023-02-06,Premium,App,785,156,40,90.43,351.33,2.04
889716,Membership Drive,2023-02-06,Inactive,Email,502,85,79,67.37,222.67,1.66
434952,Category Promotion,2023-02-06,Premium,SMS,492,100,83,96.7,424.6,2.78
